cy_mat_combat_mad,row.names
0.8868977301575496,A1CF
1.1399485554861937,A2M
0.8186904809667217,A4GALT
1.0308261595718982,A4GNT
0.45127217098118894,AAAS
0.8774671625360329,AACS
1.572902857367022,AADAC
0.8338041641477967,AAK1
0.43765966525474853,AAMP
0.47466706904383044,AANAT
0.5839523312624948,AARS
0.6104465318043251,AARSD1
0.8012589472619807,AASDHPPT
0.8046331643072984,AASS
0.8095557162458161,AATF
0.6567021602518985,AATK
1.0524224504317843,ABAT
0.8519866008893507,ABCA1
0.7836442061489696,ABCA11P
1.0011436306370534,ABCA12
0.7388569129237113,ABCA2
0.9963341091886614,ABCA3
0.7954121657667276,ABCA4
0.6976096458989222,ABCA5
0.8523771951039831,ABCA6
0.7842751609141793,ABCA7
1.0293012077932306,ABCA8
0.7566667558863892,ABCB1
0.947244388106305,ABCB11
1.0445972530821928,ABCB4
0.7412989560853597,ABCB6
0.452615507367502,ABCB7
0.7507470429201176,ABCB8
1.0540340119297056,ABCB9
0.642076614911313,ABCC1
0.5892110236153909,ABCC10
0.749471249782626,ABCC2
1.0939177424814337,ABCC3
0.8544259537455313,ABCC4
1.0266113016750573,ABCC5
1.4529519180146604,ABCC6
1.648751059203509,ABCC8
0.652029553234267,ABCC9
0.8094889124729495,ABCD1
1.0199725896467198,ABCD2
0.8799745725253875,ABCD3
0.47034252087719536,ABCD4
0.4945110628775183,ABCE1
0.506939768170817,ABCF1
0.5973948110217417,ABCF2
0.7867609522931132,ABCF3
0.7028508759187118,ABCG1
0.9175281534474172,ABCG2
0.9490859253114974,ABCG4
0.7186403290343369,ABCG5
0.9330987000211267,ABHD11
0.8251942664824555,ABHD14A
0.6261026384348158,ABHD2
0.7323596787368154,ABHD3
0.7312518421962035,ABHD4
0.7850844219881055,ABHD5
0.8537000125520895,ABHD6
0.600584714270207,ABHD8
0.5972670163453305,ABI1
0.9948779557412577,ABI2
1.0322281056395715,ABI3BP
0.5563297417911374,ABL1
1.0317529575814333,ABL2
0.8083207622128713,ABLIM1
0.8193796933579345,ABLIM3
1.6384043038475458,ABO
0.7373703151891499,ABR
0.6185980348151393,ABT1
0.7937165446042539,ABTB2
1.006337874767583,ACAA1
0.9403760087863964,ACAA2
0.6460133256016075,ACACA
0.8761821879547442,ACACB
0.4630048847858562,ACAD10
0.45069504873732263,ACAD8
1.1042503421475047,ACADM
0.7157885781034228,ACADSB
0.47593687863016204,ACADVL
1.257687431368011,ACAN
0.8994616037229991,ACAP1
1.0242021199161642,ACAP2
0.9653265186127296,ACAT1
0.961814620910682,ACAT2
0.6807306429169205,ACBD3
0.7360021219111205,ACBD4
0.5543184213099821,ACD
1.1330672309001975,ACE
0.997208874022181,ACE2
1.3164045562001196,ACHE
0.368602721202733,ACIN1
0.5259371226405651,ACLY
0.6338605310298875,ACN9
1.0427586018920274,ACO1
0.47080461860529094,ACO2
0.5556292125660672,ACOT1
0.8121483537360337,ACOT11
0.6347282352084107,ACOT2
0.9566782098310165,ACOT7
0.4311405730660907,ACOT8
0.7739267413561122,ACOT9
0.7461312136232948,ACOX1
0.8092521677477218,ACOX2
0.6408611834936103,ACOX3
1.2400031438465988,ACOXL
0.6016375925820381,ACP1
0.814277299719937,ACP2
1.0364197723916537,ACP5
0.5705443978469463,ACP6
0.9246020762547408,ACPP
0.985936096739724,ACR
0.8360242074962311,ACRV1
1.136891333307348,ACSBG1
1.2590451037025712,ACSBG2
0.9807388685145766,ACSL1
0.7883447537837568,ACSL3
1.1683894161023163,ACSL4
0.908283666065293,ACSL5
1.366224700044223,ACSL6
1.4651480993445969,ACSM1
0.7704531719159601,ACSM2A
0.8120934957329556,ACSM2B
0.7548745999086796,ACSM3
0.7903711681704324,ACSM5
1.5628642242795314,ACSS3
1.2048769316145043,ACTA1
1.0922710341545894,ACTA2
0.9088415441190698,ACTB
1.4150975289209122,ACTC1
1.0326196025404715,ACTG1
1.480797442098767,ACTG2
0.7760344985938434,ACTL6A
0.77838363947751,ACTL6B
0.7502235626542813,ACTL7A
0.4294847711895348,ACTL7B
0.9525384617340084,ACTL8
0.9583268802237906,ACTN1
0.7488634045744704,ACTN2
1.1090642135202298,ACTN3
0.9958993320866834,ACTN4
0.8364241961264917,ACTR10
0.3681496008471476,ACTR1A
0.7715888389166177,ACTR1B
0.7847383269890604,ACTR2
0.5900915455948315,ACTR3
1.461504889953635,ACTR3B
0.4089116091866802,ACTR5
0.9409709694463636,ACTR6
0.33515414569865526,ACTR8
0.9018478824359091,ACVR1
0.8587699729374016,ACVR1B
0.590154157644537,ACVR2A
0.842634448546888,ACVR2B
0.5912102917266276,ACVRL1
0.7124739729036912,ACY1
0.9944390350388957,ACYP1
0.7156190741399289,ACYP2
0.7406178095037296,ADA
0.7933702710785201,ADAM10
1.4153339710155959,ADAM11
0.7973067717915593,ADAM12
0.8458119093284875,ADAM15
0.8814862611616617,ADAM17
0.7035661946269598,ADAM18
0.840249094939302,ADAM19
0.7676714840843145,ADAM2
0.603982472100244,ADAM20
0.6759043290406738,ADAM21
1.609734114976658,ADAM22
0.9219044248232802,ADAM23
0.8188371943200563,ADAM28
1.0087699595016268,ADAM29
0.7233675909379026,ADAM30
0.4040749486115748,ADAM7
0.8732608130748762,ADAM8
0.9615442108470846,ADAM9
1.1798251506375526,ADAMDEC1
1.107480871797953,ADAMTS1
1.1665129460878136,ADAMTS12
1.2635570779017233,ADAMTS13
0.750222866726108,ADAMTS2
0.8279482538062106,ADAMTS20
1.2398123751220835,ADAMTS3
0.8872244098407537,ADAMTS5
